Brand,Nama Produk,Harga,Harga Diskon,Diskon Persen,Link,Gambar,Material Atas,Material Dalam,Material Sol,Pengikat
Converse,Chuck Taylor All Star,Rp 1.199.000,Rp 809.325,-33%,https://www.zalora.co.id/p/converse-chuck-taylor-all-star-beige-4822187,https://dynamic.zacdn.com/i4THHzvKYBxrQ4UQq1VNWne_jVA=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/converse-6209-7812284-1.jpg,: Kanvas,: Tekstil,: Rubber,: Tali
Converse,Chuck Taylor All Star,Rp 1.199.000,Rp 623.480,-48%,https://www.zalora.co.id/p/converse-chuck-taylor-all-star-purple-4692637,https://dynamic.zacdn.com/gurSpFKDLAvfAu3Lnng9F1Vwezk=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/converse-4747-7362964-1.jpg,: Kanvas,: Tekstil,: Rubber,: Tali
Converse,Chuck Taylor All Star Eva Lift,Rp 599.000,Rp 509.150,-15%,https://www.zalora.co.id/p/converse-chuck-taylor-all-star-eva-lift-pink-4953845,https://dynamic.zacdn.com/NDN0pcV_qPioh0Vzb8vOEotDMBE=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/converse-7583-5483594-1.jpg,: Kanvas,: Tekstil,: Rubber,-
Converse,Chuck Taylor All Star Lift,Rp 1.499.000,Rp 1.124.250,-25%,https://www.zalora.co.id/p/converse-chuck-taylor-all-star-lift-beige-4829176,https://dynamic.zacdn.com/6MRvY0gJFhsdIDko8TFkWAyzmTk=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/converse-2124-6719284-1.jpg,: Kanvas,: Tekstil,: Rubber,: Tali
Converse,Chuck Taylor All Star Shoreline,Rp 799.000,Rp 543.320,-32%,https://www.zalora.co.id/p/converse-chuck-taylor-all-star-shoreline-black-1588859,https://dynamic.zacdn.com/0xksgEBB9pm9xs8D88QA5lRlS4k=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/converse-2165-9588851-1.jpg,: Canvas,: Textile,: Rubber,: Tali
Converse,Star Player 76 Sneakers,Rp 1.299.000,Rp 1.039.200,-20%,https://www.zalora.co.id/p/converse-star-player-76-sneakers-white-4940354,https://dynamic.zacdn.com/Z061gm8PJAGo9tIsqfcfy798dE4=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/converse-9342-4530494-1.jpg,: Suede,: Textile,: Rubber,: Tali
Converse,Chuck Taylor All Star Lift,Rp 1.299.000,Rp 1.104.150,-15%,https://www.zalora.co.id/p/converse-chuck-taylor-all-star-lift-purple-4692635,https://dynamic.zacdn.com/tM6DCP2C9WJY5jRJdImH3ytHRBk=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/converse-4847-5362964-1.jpg,: Tekstil,: Tekstil,: Rubber,: Tali
Converse,Chuck Taylor All Star Lift,Rp 1.299.000,Rp 1.104.150,-15%,https://www.zalora.co.id/p/converse-chuck-taylor-all-star-lift-beige-white-4953967,https://dynamic.zacdn.com/_PXPyIw6keVQzb3-QiNfvA6NHQc=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/converse-7842-7693594-1.jpg,: Kanvas,: Tekstil,: Rubber,: Tali
Converse,Chuck Taylor All Star Lift,Rp 1.299.000,Rp 876.825,-33%,https://www.zalora.co.id/p/converse-chuck-taylor-all-star-lift-pink-4822192,https://dynamic.zacdn.com/pE8TOcJFEEP9BCUH79rkx0Psspw=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/converse-7264-2912284-1.jpg,: Kanvas,: Tekstil,: Rubber,: Tali
Converse,Chuck Taylor All Star,Rp 1.299.000,Rp 623.520,-52%,https://www.zalora.co.id/p/converse-chuck-taylor-all-star-purple-4700438,https://dynamic.zacdn.com/zBKPF0PY5Ds-X1gq9osLj-Ezg2Y=/0x770/filters:quality(70):format(webp)/https://static-id.zacdn.com/p/converse-4348-8340074-1.jpg,: Kanvas,: Tekstil,: Rubber,: Tali
